,Rankings,College Name,Area Type,Region,Ownership,Student-to-Faculty Ratio,Enrolled Full Time Total,Average GPA,Average SATVR,Average SATMT
210,235.0,Hope College,City: Small,Great Lakes,Private not-for-profit religious,11.0,798.0,3.9,620.0,600.0
211,238.0,The College Of New Jersey,Suburb: Large,Mid East,Public,13.0,1550.0,3.7,625.0,630.0
212,238.0,University Of Detroit Mercy,City: Large,Great Lakes,Private not-for-profit religious,11.0,564.0,3.6,575.0,575.0
213,240.0,Southwestern University,Suburb: Large,Southwest,Private not-for-profit religious,12.0,442.0,3.5,630.0,600.0
214,241.0,Drew University,Suburb: Large,Mid East,Private not-for-profit religious,11.0,420.0,3.5,,
215,243.0,University Of The Sciences,City: Large,Mid East,Private not-for-profit independent,7.0,321.0,3.7,600.0,615.0
216,243.0,University Of Alabama At Birmingham,City: Midsize,Southeast,Public,19.0,2245.0,3.6,555.0,555.0
217,245.0,Clark University,City: Midsize,New England,Private not-for-profit independent,10.0,582.0,3.7,,
218,245.0,University Of Georgia,City: Midsize,Southeast,Public,17.0,5703.0,4.0,665.0,660.0
219,245.0,Dominican University Of California,City: Small,Far West,Private not-for-profit independent,9.0,289.0,3.7,562.5,560.0
220,252.0,Widener University,Suburb: Large,Mid East,Private not-for-profit independent,13.0,768.0,3.5,555.0,555.0
221,253.0,The University Of Tennessee-Knoxville,City: Midsize,Southeast,Public,17.0,5205.0,4.0,620.0,620.0
222,254.0,Cornell College,Town: Fringe,Plains,Private not-for-profit religious,12.0,296.0,3.5,605.0,595.0
223,254.0,George Mason University,Suburb: Large,Southeast,Public,17.0,3664.0,3.7,615.0,605.0
224,256.0,Hanover College,Town: Distant,Great Lakes,Private not-for-profit religious,12.0,356.0,3.6,580.0,570.0
225,256.0,Adelphi University,Suburb: Large,Mid East,Private not-for-profit independent,12.0,1237.0,3.5,585.0,590.0
226,256.0,Washington State University,Town: Distant,Far West,Public,15.0,5048.0,3.4,560.0,555.0
227,256.0,Suffolk University,City: Large,New England,Private not-for-profit independent,15.0,1226.0,3.2,570.0,555.0
228,256.0,University Of South Carolina-Columbia,City: Midsize,Southeast,Public,17.0,5849.0,4.0,635.0,640.0
229,261.0,College For Creative Studies,City: Large,Great Lakes,Private not-for-profit independent,10.0,245.0,3.2,560.0,515.0
230,262.0,Rutgers University-Camden,City: Small,Mid East,Public,15.0,817.0,,545.0,545.0
231,262.0,California Institute Of The Arts,Suburb: Large,Far West,Private not-for-profit independent,7.0,216.0,3.3,,
232,264.0,Valparaiso University,Suburb: Large,Great Lakes,Private not-for-profit religious,11.0,756.0,3.7,585.0,585.0
233,265.0,Tuskegee University,Town: Distant,Southeast,Private not-for-profit independent,14.0,538.0,3.1,490.0,470.0
234,267.0,Alma College,Town: Distant,Great Lakes,Private not-for-profit religious,12.0,404.0,3.5,570.0,560.0
235,270.0,Depaul University,City: Large,Great Lakes,Private not-for-profit religious,15.0,2570.0,3.7,,
236,271.0,University Of Vermont,City: Small,New England,Public,16.0,2512.0,3.6,640.0,630.0
237,273.0,Auburn University,City: Small,Southeast,Public,19.0,4744.0,3.9,615.0,615.0
238,273.0,Luther College,Town: Remote,Plains,Private not-for-profit religious,11.0,554.0,3.7,585.0,595.0
239,273.0,John Carroll University,Suburb: Large,Great Lakes,Private not-for-profit religious,13.0,843.0,3.6,595.0,595.0
240,273.0,Houghton College,Rural: Remote,Mid East,Private not-for-profit religious,11.0,254.0,3.3,,
241,277.0,Xavier University Of Louisiana,City: Large,Southeast,Private not-for-profit religious,15.0,861.0,3.4,577.5,525.0
242,277.0,Sarah Lawrence College,Suburb: Large,Mid East,Private not-for-profit independent,9.0,425.0,3.7,685.0,645.0
243,277.0,Goucher College,City: Small,Mid East,Private not-for-profit independent,10.0,432.0,3.1,,
244,277.0,Westmont College,Suburb: Midsize,Far West,Private not-for-profit religious,11.0,344.0,3.6,630.0,610.0
245,281.0,Calvin College,City: Midsize,Great Lakes,Private not-for-profit religious,12.0,823.0,3.8,625.0,635.0
246,281.0,Elizabethtown College,Suburb: Large,Mid East,Private not-for-profit religious,11.0,386.0,3.5,590.0,590.0
247,283.0,Seton Hall University,Suburb: Large,Mid East,Private not-for-profit religious,13.0,1524.0,3.5,615.0,615.0
248,283.0,Saint Francis University,Town: Fringe,Mid East,Private not-for-profit religious,14.0,343.0,3.5,575.0,570.0
249,285.0,La Salle University,City: Large,Mid East,Private not-for-profit religious,12.0,1040.0,3.4,,
